,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1,-1,-100,3.0,1.0,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9661471861471862,0.97,0.9676708657196462,0.9666631054131054,0.03174885203266732,0.025819888974716168,0.02034604207331407,0.02596961231189574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5166666666666667,0.035,0.06457745153397326,0.13244047619047616,0.47434164902525683,0.03374742788552765,0.06063453010902848,0.11914058869790531,0.47267676767676764,0.165,0.24010549550149102,0.3361674783549783,0.11458563252001308,0.06687467549246293,0.08366227465646393,0.09772995275865257,models/2_0_Dasic_NoNBD__RF_Model_01-Jul-2023_15-17_0.97_0.97_0.97.mdl,64.81290626525879,32.304914236068726,1.4840259552001953,31.29892659187317
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,1,-1,-100,3.0,1.0,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9580994152046785,0.8949999999999999,0.9246311291048134,0.9441873706004141,0.04163243695048572,0.055025246730730566,0.04056304656390746,0.038062322995489895,0.5272365573023468,0.515,0.5182328540094907,0.5228943792755636,0.1074217025440158,0.12703892666773,0.1116319337179669,0.10757841610747021,0.25,0.025,0.04545454545454545,0.08928571428571427,0.42491829279939874,0.04249182927993988,0.07725787141807249,0.15175653314264237,0.5154323944029826,0.29500000000000004,0.37096571619440166,0.4438234645471487,0.14775759600842528,0.08959786703810409,0.10270766890531578,0.12160093844337877,models/2_1_Dasic_LowNBD__RF_Model_01-Jul-2023_15-19_0.96_0.90_0.94.mdl,62.36035704612732,32.36739945411682,1.484025478363037,31.086450338363647
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,1,-1,-100,3.0,1.0,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9857142857142858,0.275,0.42757834757834756,0.6442550505050505,0.04517539514526258,0.0485912657903775,0.06004915875555622,0.0574469896840314,0.5122808404298174,0.54,0.5210687323169969,0.5145279394463429,0.05584810478469845,0.11737877907772672,0.0760001399472856,0.05890781681705723,0.45,0.04,0.07240730284208544,0.1421130952380952,0.49721446300587663,0.05163977794943222,0.09134042468018186,0.17127287363354818,0.14166666666666666,0.030000000000000006,0.049080267558528415,0.08001893939393939,0.1926504542711078,0.0421637021355784,0.06820196422088111,0.10979135046311182,models/2_2_Dasic_HighNBD__RF_Model_01-Jul-2023_15-21_0.99_0.28_0.64.mdl,52.84696626663208,35.585394620895386,1.4527831077575684,30.914616107940674
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.7443697809215051,0.9949999999999999,0.8511263401444451,0.7836095627767236,0.0409690892033369,0.015811388300841916,0.0293828517961442,0.03710297920805769,0.5200663466967814,0.595,0.5526286689928209,0.5320743672036775,0.0633139351536612,0.12122064363978785,0.08444687883682632,0.06963464690904402,0.49736659736659733,0.9650000000000001,0.6563392701508299,0.5507158377797913,0.010193106047653878,0.03374742788552765,0.01569258070713219,0.011768370014601978,0.3616341991341991,0.365,0.36256036432544775,0.3618058873493656,0.0619498865545338,0.07090682462060881,0.06461356436300428,0.06243501666529371,models/2_3_PHM_C01_SS_NoNBD__RF_Model_01-Jul-2023_15-24_0.74_0.99_0.78.mdl,186.6847505569458,32.1643226146698,1.468404769897461,31.617576122283936
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,1.0,0.49000000000000005,0.649591933423969,0.8160451680672269,0.0,0.11737877907772673,0.11494176011092107,0.08273203749622697,0.49473112565184174,0.51,0.501443667960968,0.4971965996965997,0.04846664097484003,0.04594682917363408,0.04259955648064637,0.04506867485641183,0.4,0.025,0.04675324675324674,0.0982142857142857,0.5163977794943222,0.035355339059327376,0.06532829468130867,0.1338734454449936,0.4960749964123277,0.6050000000000001,0.5432005579594165,0.5135496854590885,0.05620074287589125,0.10124228365658294,0.06712688924137077,0.05833078500307689,models/2_4_PHM_C01_SS_LowNBD__RF_Model_01-Jul-2023_15-28_1.00_0.49_0.82.mdl,167.29825282096863,32.50799226760864,1.4840259552001953,31.47698450088501
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.1,0.005,0.009523809523809521,0.02083333333333333,0.31622776601683794,0.015811388300841896,0.030116930096841694,0.06588078458684121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5578095950012458,0.9400000000000001,0.6999401018268943,0.6070985292342803,0.00799173049766343,0.039440531887330765,0.015335429263032425,0.009754619734420308,0.285,0.05500000000000001,0.09175362318840577,0.15381944444444445,0.27198969660950095,0.05502524673073059,0.09050470195449008,0.14896017690015745,models/2_5_PHM_C01_SS_HighNBD__RF_Model_01-Jul-2023_15-32_0.10_0.01_0.02.mdl,75.56038308143616,32.476749420166016,1.4527838230133057,31.580143690109253
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.9018162996423866,0.99,0.9433845791191224,0.9178995094943371,0.046311471014160374,0.021081851067789224,0.030805935691292224,0.040174951090977504,0.3391469641469641,0.155,0.20505414706415817,0.2628224206349206,0.21593573549163503,0.11890705987824647,0.13893936864525333,0.16400533099371503,0.2,0.01,0.019047619047619042,0.04166666666666666,0.42163702135578396,0.021081851067789197,0.04015590679578893,0.0878410461157883,0.5418078339788865,0.43499999999999994,0.4755100086585375,0.5105888634938222,0.13140231052803672,0.14151953143569188,0.1286585761413776,0.1257493116961744,models/2_6_PHM_C04_SS_NoNBD__RF_Model_01-Jul-2023_15-34_0.90_0.99_0.92.mdl,188.73698449134827,32.304914474487305,1.4527835845947266,31.695682525634766
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.8106635715331368,0.9199999999999999,0.8606623641501328,0.8297183539640436,0.07651959919173476,0.06749485577105528,0.06494013498617048,0.07127322118458627,0.48351732038769324,0.475,0.47775670902458367,0.48082296226317967,0.09711454936169711,0.11606990230986765,0.10315460270096362,0.09848696955228098,0.49217273954116053,0.97,0.6529514903565167,0.5459390415785764,0.011061005511371439,0.04216370213557838,0.01934519295834729,0.013580903838506214,0.5367919799498747,0.485,0.5081085749378432,0.524521312021312,0.06149326668515979,0.09143911149563469,0.0752880567960032,0.06623463940400327,models/2_7_PHM_C04_SS_LowNBD__RF_Model_01-Jul-2023_15-38_0.81_0.92_0.83.mdl,174.49027967453003,32.13308000564575,1.4371616840362549,31.539469718933105
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.7476351426351426,0.485,0.5853060112203441,0.6714463087866726,0.10237774981790276,0.09143911149563469,0.09013479981226255,0.0909609409623891,0.5322126022126021,0.575,0.5507680135212706,0.5390583514332578,0.05781046403690316,0.09789450103725608,0.06940150911703245,0.06031818954095924,0.13999999999999999,0.03,0.04933333333333332,0.08055555555555555,0.2558211180579986,0.053748384988657,0.08863575066696447,0.14549122129273306,0.37786796536796535,0.215,0.2703089173108148,0.32374395524066574,0.09347062696819003,0.08181958472422383,0.08765008078076023,0.08958453056122663,models/2_8_PHM_C04_SS_HighNBD__RF_Model_01-Jul-2023_15-42_0.75_0.48_0.67.mdl,150.8487150669098,31.75816798210144,1.4215407371520996,30.633431911468506
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL2,,100,70,0.6888547533708824,1.0,0.8153108051731331,0.734352453102453,0.03503720813953188,0.0,0.024356389316430967,0.03176899736129657,0.5236621477937267,0.48,0.4977520724889146,0.5121995054060271,0.06209024224379324,0.09189365834726813,0.06418671193213504,0.05860065130585859,0.3,0.025,0.04513457556935817,0.08854166666666666,0.48304589153964794,0.0485912657903775,0.0855194717967855,0.1592118960848663,0.4128571428571428,0.085,0.13698212898212894,0.22105880230880226,0.3248450606505744,0.06687467549246294,0.10395064705315149,0.16166349897446486,models/2_9_PHM_C06_SS_NoNBD__RF_Model_01-Jul-2023_15-46_0.69_1.00_0.73.mdl,184.65976786613464,31.758167505264282,1.4215409755706787,30.57094645500183
