,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1,-1,-100,3.0,1.0,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1,0.7817663817663818,1.0,0.8773769143796896,0.817372311827957,0.021013206740268714,0.0,0.013329568825340398,0.018425945202018457,0.7962698412698412,0.27999999999999997,0.40770312828933514,0.5694735819735819,0.14738562740526928,0.12292725943057183,0.15190662793372806,0.16507492198533763,0.5027008790166685,0.985,0.6655756867329047,0.5572376589818451,0.011996689336920257,0.024152294576982425,0.013604182820594642,0.012451849660983502,0.24,0.075,0.11212555260831121,0.1625180375180375,0.22542141605183572,0.067700320038633,0.0998887400630398,0.14576144999567567,models/1_0_Dasic_NoNBD__RF_Model_02-Jul-2023_12-11_0.78_1.00_0.82.mdl,45.78617024421692,26.387580156326294,0.9529259204864502,26.025150537490845
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,1,-1,-100,3.0,1.0,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1,0.9700903774587986,0.915,0.9408386350491614,0.9579549114331725,0.041062432763246615,0.041163630117428227,0.027202229571177988,0.032680136226221373,0.49954338415207983,0.5700000000000001,0.5317790361914754,0.5118258008830867,0.08305859623116701,0.0918936583472681,0.084788876161438,0.0833245215390728,0.47144636896958875,0.8699999999999999,0.6113809427784019,0.5189440451777377,0.01378748035131047,0.04216370213557838,0.020753676608475637,0.015791027725303008,0.515,0.16499999999999998,0.24759544159544156,0.35690073815073814,0.19496060419533126,0.07835106182362106,0.10977656561164895,0.14571337805857304,models/1_1_Dasic_LowNBD__RF_Model_02-Jul-2023_12-13_0.97_0.92_0.96.mdl,44.28291034698486,26.544460773468018,0.968508243560791,25.666770696640015
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,1,-1,-100,3.0,1.0,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1,0.9438294265074451,0.8949999999999999,0.9172885777057793,0.9326271192575539,0.043737365475659734,0.0643341968853959,0.04068124958168825,0.03712645903394527,0.5091171364867018,0.53,0.5161622260786495,0.5111672677486141,0.08903951250443796,0.1602081978759722,0.1195073377545711,0.09986817995310272,0.425,0.045,0.07997835497835495,0.15178571428571425,0.4721405158071765,0.055025246730730594,0.09544346053111995,0.17436062698869298,0.16499999999999998,0.030000000000000006,0.050090909090909075,0.08452380952380951,0.22366890212494403,0.04216370213557839,0.0695187371198125,0.11517890847711615,models/1_2_Dasic_HighNBD__RF_Model_02-Jul-2023_12-14_0.94_0.89_0.93.mdl,41.65300917625427,26.548478841781616,0.9529247283935547,25.47837543487549
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,1,0.8454018445322793,1.0,0.9158159669787576,0.872149242838898,0.03781100909930323,0.0,0.022196110697382664,0.03219808243168919,0.5162847148613738,0.58,0.5448152833557306,0.527033285002035,0.058729920344901765,0.06324555320336758,0.05300724106375801,0.055242385411601286,0.45,0.034999999999999996,0.06374929418407678,0.12723214285714285,0.49721446300587663,0.047434164902525694,0.08359196673969332,0.15632674796903584,0.48,0.135,0.20588448632826442,0.30723061660561657,0.14778195482818432,0.07835106182362106,0.1023975141572399,0.1227361899937315,models/1_3_PHM_C01_SS_NoNBD__RF_Model_02-Jul-2023_12-16_0.85_1.00_0.87.mdl,132.1249852180481,26.55627465248108,0.9528815746307373,25.970813751220703
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536025641025641,0.395,0.4474495384538426,0.49345888030098556,0.10066476725306299,0.0724568837309472,0.054723317644537896,0.06447191510057254,0.4973684210526315,0.97,0.657510227936879,0.5510482734319944,0.011929100245406816,0.03496029493900503,0.017690204136872698,0.013654560513383951,0.5674908424908425,0.21000000000000002,0.30224960224960223,0.41686091686091686,0.15640857049491771,0.09067647005823629,0.10788565405179565,0.12637909153526505,models/1_4_PHM_C01_SS_LowNBD__RF_Model_02-Jul-2023_12-19_0.00_0.00_0.00.mdl,97.54201459884644,26.509412050247192,0.9529018402099609,25.587751626968384
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,1,0.8354978354978355,0.24500000000000002,0.3718844575506567,0.5490845959595959,0.18012681313259607,0.06851601597031487,0.0898969923477037,0.11581353408010792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49736659736659733,0.96,0.6550061594664627,0.5503224756273537,0.008208150421830705,0.04594682917363408,0.01547167914317234,0.009827657484732535,0.3695238095238095,0.1,0.1499480254045471,0.22384347678465324,0.17317162059323224,0.07453559924999299,0.08887539661956478,0.10393734440847789,models/1_5_PHM_C01_SS_HighNBD__RF_Model_02-Jul-2023_12-22_0.84_0.24_0.55.mdl,99.64691114425659,26.520095109939575,0.937309741973877,25.743952989578247
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,1,0.8493483907396951,0.975,0.9073397945093917,0.8715311109707662,0.039075857127121354,0.026352313834736508,0.026843528318762303,0.033919512351975316,0.5373939557100144,0.515,0.5233456354386588,0.5309974747474747,0.10563636308201736,0.1375378735718517,0.11624137880158886,0.10807671416134959,0.05611111111111111,0.025,0.034515599343185537,0.0448260073260073,0.0760928607478397,0.03535533905932738,0.04810270955478577,0.06159647490430525,0.5118502039302929,0.76,0.6112494516628255,0.5473945518522724,0.03384115686447165,0.06582805886043834,0.042547290155667446,0.036371521851254786,models/1_6_PHM_C04_SS_NoNBD__RF_Model_02-Jul-2023_12-24_0.85_0.97_0.87.mdl,131.73855328559875,26.478170156478882,0.9373044967651367,25.592362642288208
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,1,0.8098476121302209,0.985,0.8879577334033802,0.8392116865594341,0.04787578789283223,0.03374742788552765,0.03194006635289289,0.04138257333223765,0.4807015870602827,0.45999999999999996,0.46730476714311087,0.4744131894675373,0.08918291854167192,0.11498792207106893,0.09690763819156692,0.08999021325987477,0.2,0.015000000000000003,0.0277056277056277,0.05654761904761903,0.34960294939005054,0.0241522945769824,0.04462585491093544,0.09140991666499555,0.5299881572488923,0.465,0.4896535139469558,0.5112271786184829,0.08712403096683176,0.11067971810589326,0.07801912434897128,0.07301436394660274,models/1_7_PHM_C04_SS_LowNBD__RF_Model_02-Jul-2023_12-27_0.81_0.98_0.84.mdl,117.49544787406921,26.478169202804565,0.9529256820678711,25.730419874191284
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,1,0.5975853313353313,0.41,0.48240745868754453,0.5438686763797815,0.09492446499251815,0.09368979548370131,0.08561772038732346,0.08524610182545449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.005,0.00869565217391304,0.015625,0.10540925533894598,0.0158113883008419,0.02749806661015981,0.04941058844013092,0.48629648712107476,0.595,0.5335267984126684,0.5038512218773784,0.050468773225724,0.0864420165325996,0.05818379764328943,0.051698928667284205,models/1_8_PHM_C04_SS_HighNBD__RF_Model_02-Jul-2023_12-30_0.60_0.41_0.54.mdl,115.06651139259338,26.540613412857056,0.9529256820678711,25.77133274078369
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL2,,100,70,1,0.5012820512820513,1.0,0.6677966101694915,0.5568181818181819,0.0040542021284209855,0.0,0.0035731950962354583,0.003992774823444896,0.5704408212560386,0.6799999999999999,0.6171131947540867,0.5876131418521514,0.08961887634477,0.10055402085998903,0.07581500561586288,0.0817352944185446,0.4987179487179487,0.985,0.6621274108708357,0.5533386187455955,0.007277515540994204,0.024152294576982435,0.010929900400786794,0.008292583634388114,0.6275490982746333,0.6,0.6104068202139671,0.6197401903651903,0.09948604235997506,0.11303883305208777,0.09654520848383714,0.09505931134260713,models/1_9_PHM_C06_SS_NoNBD__RF_Model_02-Jul-2023_12-33_0.50_1.00_0.56.mdl,132.28009510040283,30.555339336395264,0.9529266357421875,25.665860414505005
