Round,expt_n,environment,environment_info,data_file,Model_name,environment.1,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
5,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,SS,1,-1,-100,3,1,0,0,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.908977979,0.99,0.947486697,0.923941799,0.027708742,0.021081851,0.018638363,0.023558317,0.514577016,0.81,0.627987745,0.554454742,0.052442892,0.084327404,0.056747719,0.053173499,0.216666667,0.02,0.036006023,0.069940476,0.368932394,0.034960295,0.062018069,0.117393015,0.580656378,0.47,0.517472714,0.552964212,0.104821644,0.115950181,0.108076421,0.104847782,models/0_0_Dasic_NoNBD__RF_Model_28-Jun-2023_16-11.mdl,53.21464992,14.53840184,1.058929205,12.41233253
5,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,SS,1,-1,-100,3,1,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.846463826,0.995,0.913737908,0.871954825,0.052624808,0.015811388,0.028920087,0.043824955,0.541707792,0.66,0.594186804,0.561391593,0.074486429,0.114987922,0.088971485,0.079249231,0.508333333,0.04,0.072873141,0.145585317,0.385801235,0.021081851,0.038593619,0.080017316,0.373809524,0.105,0.159284033,0.236742424,0.225332542,0.0831665,0.115823001,0.155394749,models/0_1_Dasic_LowNBD__RF_Model_28-Jun-2023_16-12.mdl,50.67112994,13.98672342,1.001089811,11.72075915
5,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,SS,1,-1,-100,3,1,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.5,1,0.666666667,0.555555556,0,0,0,0,0.513333145,0.615,0.558010058,0.530023709,0.062785483,0.110679718,0.078062938,0.067204035,0.954761905,0.23,0.368831909,0.581123737,0.099412484,0.025819889,0.031933751,0.0396062,0.581808175,0.735,0.648093451,0.606375433,0.074183198,0.108140855,0.081866324,0.075768781,models/0_2_Dasic_HighNBD__RF_Model_28-Jun-2023_16-13.mdl,63.67688441,17.73768067,1.243505239,12.84331608
5,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,SS,1,-2,-40,0.12,0.95,0,0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.580027162,1,0.734105657,0.63317534,0.014305541,0,0.01145285,0.013635587,0.59781746,0.22,0.317673323,0.437467741,0.132486901,0.078881064,0.101212778,0.119741663,0.498650472,0.975,0.659770115,0.552626556,0.016840582,0.042491829,0.02368,0.018963104,0.575261175,0.77,0.657304883,0.605282288,0.068126212,0.103279556,0.077445022,0.070644975,models/0_3_PHM_C01_SS_NoNBD__RF_Model_28-Jun-2023_16-15.mdl,156.1682847,24.70392323,2.685045004,20.42629814
5,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,SS,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,1,0.465,0.626036785,0.799998102,0,0.12030055,0.119055367,0.086467787,0.571989729,0.455,0.50150758,0.540016827,0.109063,0.111679104,0.090697519,0.094853634,0.216666667,0.02,0.036006023,0.069940476,0.368932394,0.034960295,0.062018069,0.117393015,0.50719716,0.48,0.490982482,0.499925882,0.083995895,0.108525471,0.092918529,0.085996001,models/0_4_PHM_C01_SS_LowNBD__RF_Model_28-Jun-2023_16-18.mdl,145.1757469,18.04990959,1.174416304,23.67834139
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,SS,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.719395082,0.42,0.524607267,0.623490919,0.056853448,0.078881064,0.058387584,0.040757787,0.493606175,0.425,0.453367705,0.475603752,0.074147988,0.075461543,0.064731149,0.066274335,0.316666667,0.025,0.045529832,0.09077381,0.433546956,0.035355339,0.063176246,0.121997594,0.493636572,0.71,0.581418052,0.525221371,0.062711272,0.130809446,0.086581776,0.070685803,models/0_5_PHM_C01_SS_HighNBD__RF_Model_28-Jun-2023_16-22.mdl,119.5405307,14.00577903,0.998332262,11.63343239
5,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,SS,1,-1,-40,0.098,0.95,0,0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.680772287,1,0.809927971,0.727134793,0.019387071,0,0.013761065,0.017712145,0.477612926,0.455,0.463839753,0.471451707,0.053755516,0.072456884,0.054826824,0.051498982,0.25,0.02,0.036796537,0.074404762,0.424918293,0.034960295,0.06399024,0.128010793,0.425692641,0.18,0.245041994,0.31937508,0.167310527,0.115950181,0.141978458,0.158448281,models/0_6_PHM_C04_SS_NoNBD__RF_Model_28-Jun-2023_16-24.mdl,158.4092541,13.17286587,0.969416142,12.48392439
5,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,SS,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.618381658,0.95,0.748703673,0.664603085,0.04152328,0.040824829,0.039983214,0.041144775,0,0,0,0,0,0,0,0,0.417841869,0.7,0.52317085,0.454421337,0.010655798,0.033333333,0.016314424,0.012204963,0.541155642,0.28,0.362144877,0.447703512,0.143401536,0.120646407,0.125782836,0.130042741,models/0_7_PHM_C04_SS_LowNBD__RF_Model_28-Jun-2023_16-27.mdl,153.8742616,19.92207551,1.804234505,21.72129917
5,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,SS,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.633804492,0.95,0.760168667,0.678925813,0.022624964,0.023570226,0.02075881,0.021925184,0.484062792,0.495,0.483909775,0.482761153,0.092186183,0.173925271,0.124576294,0.103105988,0.266666667,0.02,0.036438923,0.072916667,0.438853726,0.034960295,0.062457439,0.120781438,0.436940837,0.24,0.30703098,0.37210656,0.104113246,0.087559504,0.094486386,0.098467348,models/0_8_PHM_C04_SS_HighNBD__RF_Model_28-Jun-2023_16-30.mdl,226.0870192,19.67450762,1.917039394,22.89306188
5,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,SS,1,-1,-40,0.13,0.95,0,0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.702867248,1,0.825187814,0.747120842,0.029944919,0,0.02038292,0.026942876,0.534192071,0.545,0.537554276,0.535066547,0.079444214,0.101242284,0.084374605,0.079878101,0.5,0.97,0.659809079,0.553632253,0.015064689,0.034960295,0.020311737,0.01670623,0.39702381,0.12,0.183192918,0.269352176,0.125937215,0.05868939,0.081464295,0.104853487,models/0_9_PHM_C06_SS_NoNBD__RF_Model_28-Jun-2023_16-35.mdl,274.4366405,17.96540856,1.857466936,18.52694607
