time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
0,0.916,4.37,-1.372,0.102,0.041,0.069,0.018,0.031416355,0
1,1.018,3.001,0.751,0.09,0.088,0.111,0.018,0.031416355,0
2,1.287,1.38,1.593,0.036,0.055,0.061,0.019,0.031416355,0
3,1.028,2.434,1.748,0.134,0.055,0.121,0.041,0.031416355,0
4,-1.993,-1.411,0.082,0.069,0.033,0.064,0.031,0.031416355,0
5,-0.423,-3.029,1.109,0.092,0.098,0.07,0.033,0.031416355,0
6,-0.387,-2.697,-0.492,0.033,0.067,0.054,0.039,0.031416355,0
7,-0.3,1.297,-0.401,0.084,0.049,0.061,0.027,0.031416355,0
8,-0.464,0.746,-1.421,0.101,0.033,0.021,0.024,0.031416355,0
9,1.506,2.986,-1.11,0.116,0.052,0.042,0.037,0.031416355,0
10,0.84,6.326,-1.2,0.097,0.089,0.107,0.034,0.031416355,0
11,3.337,0.037,1.107,0.032,0.078,0.109,0.028,0.031416355,0
12,4.477,2.815,-0.006,0.036,0.115,0.096,0.029,0.031416355,0
13,3.576,9.31,0.493,0.074,0.07,0.037,0.032,0.031416355,0
14,2.421,-2.771,1.761,0.074,0.012,-0.05,0.022,0.031416355,0
15,2.553,-1.152,0.985,-0.054,0.044,-0.025,0.029,0.031416355,0
16,4.081,0.834,-0.627,0.041,0.074,0.107,0.026,0.031416355,0
17,3.856,1.386,-2.987,0.026,0.026,0.033,0.028,0.031416355,0
18,3.616,3.404,-2.604,0.093,0.011,0.011,0.03,0.031416355,0
19,2.386,2.189,-2.587,0.132,0.032,0.049,0.024,0.031416355,0
20,2.638,3.733,2.581,0.104,0.055,0.087,0.025,0.031416355,0
21,0.597,3.383,2.967,0.003,-0.039,0.017,0.027,0.031416355,0
22,0.418,2.316,0.148,-0.03,-0.017,-0.04,0.028,0.031416355,0
23,-0.817,-0.455,1.048,-0.024,-0.026,-0.081,0.036,0.031416355,0
24,-0.672,-2.562,-0.788,0.04,0.027,-0.018,0.034,0.031416355,0
25,-0.008,-0.742,-0.216,0.001,0.043,0.017,0.03,0.031416355,0
26,-0.339,0.316,-1.037,-0.038,0.061,0,0.03,0.031416355,0
27,-0.226,-2.207,-0.172,-0.041,0.041,-0.011,0.042,0.031416355,0
28,0.663,1.809,-1.775,-0.068,-0.058,-0.15,0.033,0.031416355,0
