time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
0,0.704,-0.387,-1.084,0.018,0.031,0.027,-0.004,0.048892617,0
1,-0.205,-0.727,0.835,-0.083,-0.079,-0.083,0.001,0.048892617,0
2,0.528,1.935,-0.622,-0.003,0.032,0.012,0,0.048892617,0
3,0.759,2.08,1.077,-0.058,-0.088,-0.072,-0.003,0.048892617,0
4,1.139,0.939,0.949,-0.045,-0.097,-0.063,0.001,0.048892617,0
5,0.976,1.131,0.726,-0.055,-0.076,-0.042,0.002,0.048892617,0
6,0.796,-0.475,2.158,-0.098,-0.065,-0.066,0.001,0.048892617,0
7,0.715,-1.312,0.44,-0.096,-0.056,-0.06,0,0.048892617,0
8,0.928,-1.081,1.525,-0.064,-0.058,-0.048,-0.001,0.048892617,0
9,0.243,-0.706,-0.077,-0.017,-0.003,-0.008,-0.002,0.048892617,0
10,1.422,-1.803,0.136,-0.057,-0.042,-0.033,-0.001,0.048892617,0
11,-1.096,-2.038,-0.02,-0.01,0.013,0.003,-0.003,0.048892617,0
12,0.055,-1.503,-0.083,-0.041,-0.019,-0.02,0,0.048892617,0
13,0.834,0.36,0.244,-0.022,-0.024,-0.016,0.003,0.048892617,0
14,0.228,1.139,-1.917,0.017,0.025,0.026,0,0.048892617,0
15,-0.028,1.079,0.767,-0.084,-0.079,-0.073,0.001,0.048892617,0
16,-0.679,1.042,0.353,-0.04,-0.037,-0.055,0.002,0.048892617,0
17,0.03,1.408,-0.371,-0.043,-0.036,-0.04,0.001,0.048892617,0
18,0.645,0.344,0.05,-0.026,-0.002,0.011,0,0.048892617,0
19,0.296,-2.979,-0.914,-0.03,-0.012,-0.014,0.001,0.048892617,0
20,0.611,-1.744,0.007,-0.014,0.005,0.004,0.003,0.048892617,0
21,1.32,-0.385,-0.437,0.042,0.05,0.07,0.001,0.048892617,0
22,2.404,0.73,0.229,0,0.019,0.024,0.002,0.048892617,0
23,1.618,0.66,1.133,0.017,0.015,0.032,0.004,0.048892617,0
24,1.348,1.197,-1.325,-0.077,-0.083,-0.072,0.005,0.048892617,0
25,2.372,1.041,0.184,-0.049,-0.09,-0.065,0.004,0.048892617,0
26,0.681,0.07,0.015,-0.038,-0.061,-0.033,-0.002,0.048892617,0
27,1.399,1.668,-0.168,-0.051,-0.03,-0.025,0,0.048892617,0
28,-0.408,1.17,-0.164,0.025,0.044,0.044,-0.002,0.048892617,0
29,0.556,0.285,0.174,-0.029,-0.028,-0.022,-0.002,0.048892617,0
30,-0.045,-1.501,0.023,0.062,0.065,0.06,-0.001,0.048892617,0
31,1.612,-0.635,0.312,0.03,0.032,0.053,-0.001,0.048892617,0
32,-0.134,0.862,1.351,0.021,0.032,0.049,0.001,0.048892617,0
33,-0.088,-0.895,0.322,-0.002,-0.003,0.012,0,0.048892617,0
34,0.463,0.71,1.683,0.043,0.042,0.049,0.001,0.048892617,0
35,0.424,0.729,-0.196,0.037,0.039,0.035,0.003,0.048892617,0
36,0.356,0.62,0.764,-0.123,-0.123,-0.117,0.003,0.048892617,0
37,-0.324,-0.965,0.807,-0.124,-0.12,-0.1,0.001,0.048892617,0
38,1.62,-0.703,-0.058,-0.158,-0.144,-0.117,0.001,0.048892617,0
39,1.531,0.634,-0.758,0.051,0.064,0.069,0.002,0.048892617,0
40,1.776,1.18,0.565,0.006,0.003,0.011,0.003,0.048892617,0
41,0.714,1.431,0.85,0.054,0.051,0.056,0,0.048892617,0
42,2.357,1.456,-1.168,-0.003,0.008,0.029,-0.001,0.048892617,0
43,1.873,3.656,0.965,-0.042,-0.026,-0.002,-0.001,0.048892617,0
44,1.875,2.958,-0.075,-0.045,-0.038,-0.033,-0.003,0.048892617,0
45,1.323,-1.133,0.891,-0.112,-0.1,-0.098,-0.002,0.048892617,0
46,1.049,0.85,-1.012,-0.001,0.001,0.022,-0.002,0.048892617,0
47,0.901,-0.465,-0.024,-0.006,0.007,0.008,-0.001,0.048892617,0
48,1.609,-0.257,-0.414,0.009,0.018,0.029,-0.003,0.048892617,0
49,0.503,-0.72,-0.674,0.013,0.02,0.039,-0.003,0.048892617,0
50,-0.031,2.871,-0.868,0.03,0.025,0.043,-0.003,0.048892617,0
51,1.158,1.561,-0.429,0.036,0.033,0.052,-0.002,0.048892617,0
52,-0.413,-0.275,-1.521,0.02,0.02,0.03,-0.003,0.048892617,0
53,0.801,0.359,0.288,-0.017,-0.009,0.002,-0.002,0.048892617,0
54,-0.377,1.05,-0.604,-0.057,-0.048,-0.042,0,0.048892617,0
55,1.303,0.277,-1.321,-0.068,-0.065,-0.052,0,0.048892617,0
56,0.203,-0.924,-2.307,-0.036,-0.024,-0.023,0.001,0.048892617,0
57,0.292,1.413,-0.202,-0.049,-0.055,-0.042,-0.002,0.048892617,0
58,-0.798,0.604,1.556,0.005,-0.007,-0.01,0,0.048892617,0
59,2.177,-0.181,-1.146,-0.006,-0.003,0.001,0,0.048892617,0
60,0.747,0.847,-0.298,0.023,0.03,0.026,0.001,0.048892617,0
61,1.836,-0.05,-0.815,-0.021,-0.024,0.001,-0.001,0.048892617,0
62,1.279,1.817,0.738,-0.024,-0.019,-0.016,-0.001,0.048892617,0
63,1.404,2.572,0.266,-0.05,-0.027,-0.033,-0.003,0.048892617,0
64,-0.1,-1.397,1.541,-0.077,-0.097,-0.097,-0.005,0.049570815,0
65,0.179,5.646,0.622,-0.092,-0.089,-0.09,0.06,0.049570815,0
66,-1.48,0.037,-1.091,0.002,-0.065,-0.066,0.051,0.049570815,0
67,0.287,-4.862,0.237,-0.033,-0.139,-0.073,0.048,0.049570815,0
68,0.782,1.589,-1.515,-0.028,-0.021,0.038,0.051,0.049570815,0
69,0.783,-2.626,0.147,-0.047,-0.077,-0.052,0.027,0.049570815,0
70,-0.43,-2.87,2.311,-0.02,-0.063,-0.062,0.035,0.049570815,0
71,3.217,0.237,-0.294,-0.103,-0.164,-0.16,0.031,0.049570815,0
72,4.749,2.707,-0.381,-0.118,-0.149,-0.046,0.035,0.049570815,0
73,6.233,1.929,1.744,-0.08,-0.027,0.043,0.025,0.049570815,0
74,3.569,7.152,0.037,-0.073,-0.003,-0.059,0.022,0.049570815,0
75,4.672,6.363,-0.632,0.041,0.007,-0.077,0.013,0.049570815,0
76,2.077,-2.459,2.843,0.09,-0.066,-0.045,0.009,0.049570815,0
77,1.285,-0.101,1.34,-0.018,-0.039,-0.011,0.012,0.049570815,0
78,0.866,-0.764,-0.406,-0.065,-0.021,-0.008,0.018,0.049570815,0
79,0.7,-1.834,-0.644,0.017,0.013,-0.022,0.019,0.049570815,0
80,0.646,0.526,-1.541,0.103,0.04,-0.003,0.024,0.049570815,0
81,0.791,3.808,-1.231,-0.01,-0.075,-0.03,0.022,0.049570815,0
82,0.793,1.7,1.735,0.051,0.016,0.09,0.031,0.049570815,0
83,-0.301,-2.061,3.988,0.017,-0.009,0.036,0.033,0.049570815,0
84,-0.742,2.815,-2.205,0.045,0.033,0.035,0.03,0.049570815,0
85,-1.886,-1.053,-0.027,0.005,-0.04,-0.049,0.041,0.049570815,0
86,0.472,-7.401,0.497,-0.101,-0.206,-0.127,0.039,0.049570815,0
87,1.535,1.709,-0.539,-0.039,-0.078,-0.005,0.049,0.049570815,0
88,0.927,0.726,0.871,-0.016,-0.063,-0.033,0.038,0.049570815,0
89,1.531,-2.092,0.799,-0.053,-0.078,-0.076,0.035,0.049570815,0
90,4.131,1.5,-0.97,-0.183,-0.235,-0.219,0.04,0.049570815,0
91,3.504,5.255,-1.419,-0.065,-0.077,-0.005,0.031,0.049570815,0
92,6.623,0.336,1.783,-0.04,-0.024,0.025,0.031,0.049570815,0
93,5.333,6.851,0.722,0.028,0.06,0.017,0.049,0.049570815,0
94,3.883,8.76,0.797,0.029,-0.026,-0.059,0.04,0.049570815,0
95,2.131,-1.898,5.457,0.067,-0.098,-0.052,0.033,0.049570815,0
96,2.109,0.453,1.04,-0.013,0.003,0.005,0.039,0.049570815,0
97,1.353,-1.623,-1.577,-0.06,-0.021,-0.039,0.044,0.049570815,0
98,1.031,-1.485,-1.707,0.085,0.073,0.03,0.057,0.049570815,0
99,0.297,-0.174,-2.288,-0.001,-0.028,-0.073,0.055,0.049570815,0
100,0.183,2.004,-0.508,-0.016,-0.064,-0.051,0.047,0.049570815,0
101,0.295,0.685,1.707,-0.052,-0.107,-0.012,0.052,0.049570815,0
102,1.537,1.486,2.063,-0.078,-0.1,-0.055,0.048,0.049570815,0
103,0.81,3.675,-0.482,-0.063,-0.082,-0.067,0.059,0.049570815,0
104,-1.927,1.179,0.182,-0.068,-0.118,-0.114,0.054,0.049570815,0
105,0.558,-6.474,0.157,0.028,-0.054,-0.027,0.056,0.049570815,0
106,1.672,1.994,-1.648,-0.043,-0.073,0.003,0.057,0.049570815,0
107,0.742,-0.949,-0.037,0.016,-0.014,0.028,0.048,0.049570815,0
108,-0.128,-1.513,1.515,0.018,0.031,-0.021,0.047,0.049570815,0
